Rtc Date,Rtc Time,BMP Temp(C),BMP Pres(mb),SHT25 Temp(C),SHT25 Humidity,CO2(ADC VAL),Wind Speed(mph),Wind Direction(deg),Quad-Aux-1(microVolts),Quad-Main-1(microVolts),Quad-Aux-2(microVolts),Quad-Main-2(microVolts),Quad-Aux-3(microVolts),Quad-Main-3(microVolts),Quad-Aux-4(microVolts),Quad-Main-4(microVolts),Fig 210 Heat(milliVolts),Fig 210 Sens(milliVolts),Fig 280 Heat(milliVolts),Fig 280 Sens(milliVolts),BL Moccon sens(milliVolts),ADC2 Channel-2(empty),E2VO3 Heat(milliVolts),E2VO3 Sens(milliVolts),GPS Date,GPS Time(UTC),Latitude,Longitude,Fix Quality,Altitude(meters above sea level),Statellites
1/20/2016,16:41,25.11,830.96,25.48,12.67,332,0,-1,859.38,765.63,-531.25,2453.13,953.13,0,-296.88,-468.75,546,1189.125,546.75,1625.25,53.0625,552.75,3054.75,1475.625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:41,25.2,830.95,25.61,18.01,353,0,-1,-140.63,-7625,-343.75,3421.88,218.75,78.13,-265.63,-171.88,544.6875,1138.5,545.625,1605,49.6875,550.5,3054.5625,1451.4375,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:42,25.3,830.8,25.73,15.29,451,0,-1,-46.88,-7328.13,468.75,4953.13,46.88,125,-171.88,281.25,544.3125,1007.8125,545.0625,1578.375,53.4375,549.75,3053.8125,1440,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:42,25.37,830.9,25.84,13.35,602,0,-1,0,-437.5,515.63,4593.75,390.63,156.25,0,78.13,543.9375,914.4375,544.875,1555.875,53.4375,549.5625,3054,1414.5,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:42,25.5,830.9,25.86,13.17,666,0,-1,140.63,15.63,-937.5,3437.5,171.88,171.88,-218.75,93.75,543.9375,849.1875,544.6875,1550.625,52.875,548.8125,3054,1405.875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:42,25.66,830.88,26.09,13.49,610,0,-1,62.5,-2343.75,-1703.13,2890.63,140.63,156.25,-359.38,359.38,543.75,798.5625,544.875,1541.0625,53.25,548.0625,3051.375,1406.25,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:43,25.81,830.88,26.25,13.73,556,0,-1,93.75,-1187.5,-2578.13,2609.38,203.13,187.5,-234.38,125,544.125,769.6875,544.3125,1532.4375,53.625,548.625,3052.3125,1408.3125,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:43,25.93,830.82,26.38,13.39,507,0,-1,46.88,109.38,-2937.5,2796.88,-62.5,218.75,-343.75,-140.63,544.3125,706.5,544.5,1504.875,53.25,547.875,3053.0625,1339.6875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:43,26.08,830.87,26.52,11.14,491,0,-1,62.5,5750,-3671.88,2625,312.5,203.13,-468.75,-15.63,544.125,645.75,544.3125,1473,53.0625,548.0625,3052.3125,1265.4375,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:43,26.17,830.78,26.63,10.54,487,0,-1,31.25,5093.75,-4625,1593.75,109.38,203.13,-734.38,-140.63,543,606.1875,544.125,1451.25,53.0625,547.3125,3052.3125,1204.875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:43,26.28,830.83,26.72,10.28,440,0,-1,62.5,3781.25,-4921.88,1265.63,218.75,203.13,-328.13,-93.75,543.9375,579.1875,544.3125,1436.8125,53.0625,547.5,3052.3125,1151.625,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:44,26.37,830.81,26.81,10.05,409,0,-1,78.13,1843.75,-5062.5,1375,171.88,203.13,-625,-62.5,543.75,559.6875,543.9375,1427.25,52.6875,547.5,3052.6875,1109.25,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:44,26.47,830.83,26.92,9.98,384,0,-1,78.13,1562.5,-4703.13,1750,109.38,218.75,-640.63,46.88,543.5625,543.1875,543.375,1420.875,52.875,547.3125,3053.25,1072.6875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:44,26.59,830.81,27.01,10.14,359,0,-1,109.38,750,-4375,2281.25,187.5,234.38,-484.38,-62.5,543,532.6875,543.1875,1418.625,52.875,547.125,3052.6875,1052.4375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:44,26.79,830.82,27.22,9.92,348,0,-1,203.13,1421.88,-3578.13,3093.75,250,187.5,-734.38,140.63,542.8125,504.375,543,1404.9375,52.6875,546.75,3052.6875,992.25,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:45,26.88,830.83,27.28,9.82,343,0,-1,109.38,1187.5,-3265.63,3328.13,93.75,203.13,-640.63,-156.25,542.0625,494.625,543,1402.875,52.6875,546.75,3051.75,973.5,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:45,26.99,830.85,27.38,10.01,340,0,-1,109.38,312.5,-2875,3546.88,359.38,234.38,-453.13,-281.25,542.0625,495.5625,542.4375,1409.25,52.5,546.5625,3052.6875,976.125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:45,27.07,830.87,27.46,11.13,332,0,-1,109.38,-4109.38,-2593.75,3921.88,187.5,203.13,-546.88,171.88,541.5,510.1875,542.25,1422.9375,52.5,546.5625,3051.75,1014.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:45,27.17,830.8,27.56,12.01,326,0,-1,78.13,-4468.75,-1984.38,4843.75,109.38,234.38,-609.38,62.5,542.0625,516,541.6875,1419.1875,52.5,546.375,3052.6875,1037.25,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:45,27.27,830.87,27.66,11.06,332,0,-1,93.75,750,-1437.5,5234.38,203.13,234.38,-968.75,0,542.0625,508.125,542.25,1406.0625,52.125,546.5625,3052.3125,1017.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:46,27.33,830.78,27.73,11.17,330,0,-1,234.38,1484.38,-1468.75,5250,343.75,234.38,-718.75,265.63,540.5625,520.5,541.5,1422,52.875,545.8125,3051.75,1049.625,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:46,27.45,830.84,27.84,13.07,327,0,-1,62.5,-4890.63,-1328.13,5375,218.75,218.75,-609.38,156.25,541.125,522,541.5,1417.6875,52.5,545.25,3052.125,1063.3125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:46,27.53,830.75,27.91,11.72,325,0,-1,140.63,796.88,-1203.13,5812.5,234.38,218.75,-796.88,328.13,540.375,511.875,540.375,1407.1875,52.3125,545.4375,3052.125,1067.8125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:46,27.6,830.84,27.98,10.54,326,0,-1,156.25,3031.25,-1390.63,5734.38,296.88,234.38,-1046.88,0,540.375,492.75,540.75,1388.4375,52.3125,545.0625,3051.5625,1038.1875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:47,27.67,830.88,28.04,9.74,332,0,-1,203.13,3937.5,-1515.63,5703.13,312.5,234.38,-671.88,31.25,540.75,478.6875,540.375,1375.5,52.3125,545.4375,3051.9375,1008.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:47,27.73,830.85,28.1,9.44,328,0,-1,171.88,3343.75,-1812.5,5578.13,140.63,250,-671.88,140.63,539.8125,465.1875,540.9375,1368.5625,52.125,544.5,3051.9375,990,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:47,27.81,830.87,28.17,9.24,319,0,-1,140.63,2531.25,-1578.13,5718.75,218.75,218.75,-875,-15.63,540.1875,454.125,540.5625,1363.125,52.125,544.875,3051.9375,972.375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:47,27.85,830.89,28.24,9.17,312,0,-1,125,1531.25,-1578.13,5671.88,328.13,234.38,-875,265.63,539.625,445.6875,540,1358.625,52.125,544.875,3050.4375,960.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:47,27.91,830.86,28.28,9.21,310,0,-1,171.88,1031.25,-1078.13,5906.25,125,218.75,-984.38,125,539.25,444.9375,540.5625,1361.4375,51.9375,543.9375,3051.5625,957.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:48,27.95,830.86,28.35,10.41,313,0,-1,234.38,-1937.5,-812.5,6046.88,359.38,218.75,-812.5,218.75,540,447.75,540,1369.125,52.125,544.125,3051.375,975.1875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:48,28,830.87,28.41,10.14,315,0,-1,140.63,-1078.13,-375,6296.88,281.25,234.38,-781.25,328.13,539.25,444.5625,539.4375,1367.25,52.125,543.75,3051.75,976.3125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:48,28.07,830.91,28.45,9.69,323,0,-1,140.63,1421.88,-78.13,6515.63,218.75,218.75,-609.38,-62.5,538.6875,439.5,539.4375,1359.9375,52.125,543.75,3051.5625,961.5,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:48,28.11,830.86,28.49,9.3,327,0,-1,171.88,1921.88,-296.88,6203.13,250,234.38,-828.13,296.88,538.875,431.8125,538.3125,1354.6875,51.9375,544.125,3050.8125,951,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:48,28.18,830.94,28.56,9.38,324,0,-1,156.25,1437.5,-296.88,6187.5,187.5,218.75,-1125,203.13,538.3125,427.6875,538.6875,1351.875,51.9375,543.375,3051.5625,937.875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:49,28.2,830.92,28.61,9.42,323,0,-1,187.5,921.88,-281.25,6171.88,203.13,218.75,-796.88,281.25,537.9375,426.1875,538.6875,1350.375,51.9375,542.4375,3051.375,934.3125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:49,28.25,830.92,28.67,9.43,328,0,-1,125,765.63,-203.13,6031.25,187.5,218.75,-843.75,171.88,537.9375,422.25,538.6875,1348.875,51.9375,542.8125,3051.75,930.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:49,28.31,830.93,28.68,9.97,333,0,-1,171.88,-1343.75,93.75,6421.88,93.75,218.75,-765.63,328.13,537.9375,442.3125,537.9375,1371.375,52.125,542.25,3050.8125,965.8125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:49,28.39,830.96,28.76,12.24,374,0,-1,203.13,-4218.75,796.88,7390.63,125,234.38,-937.5,312.5,537.9375,439.5,538.3125,1364.0625,52.125,542.625,3051.375,979.875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:50,28.42,830.96,28.79,9.74,448,0,-1,156.25,2906.25,984.38,7437.5,187.5,234.38,-718.75,578.13,537.9375,429.75,537.9375,1353.9375,51.9375,542.625,3051.5625,984.5625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:50,28.46,831.02,28.85,9.56,476,0,-1,187.5,2750,718.75,6890.63,296.88,218.75,-1000,296.88,538.3125,422.25,538.3125,1347.1875,51.75,543.5625,3050.625,975.5625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:50,28.51,830.98,28.89,9.24,445,0,-1,203.13,2640.63,390.63,6546.88,156.25,234.38,-812.5,203.13,538.3125,412.875,538.3125,1342.125,51.75,542.25,3050.8125,967.3125,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:50,28.53,830.99,28.93,9.01,411,0,-1,125,3062.5,125,6000,265.63,218.75,-890.63,375,537.5625,406.5,538.3125,1339.125,51.75,542.0625,3050.4375,969.9375,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:50,28.57,831.04,28.97,8.94,379,0,-1,234.38,1484.38,93.75,5906.25,187.5,218.75,-656.25,312.5,538.3125,413.625,537.9375,1344.75,51.75,541.5,3051.1875,988.875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:51,28.63,831.06,29,11.11,357,0,-1,203.13,-2281.25,515.63,6031.25,250,265.63,-984.38,234.38,538.3125,434.8125,538.3125,1359.5625,52.125,541.5,3051.375,1020,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:51,28.69,831.08,29.07,13.26,346,0,-1,234.38,-4562.5,843.75,6453.13,187.5,218.75,-718.75,390.63,537.9375,439.875,537.75,1361.0625,51.9375,542.0625,3051.1875,1037.0625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:51,28.74,831.06,29.12,10.49,354,0,-1,250,296.88,1250,7078.13,0,250,-843.75,437.5,538.125,455.8125,537.75,1377.375,52.3125,541.875,3050.25,1078.5,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:51,28.82,831.03,29.18,13.39,374,0,-1,140.63,-5031.25,1421.88,7250,125,171.88,-812.5,500,537.75,468,538.125,1374.5625,51.5625,541.6875,3050.8125,1102.3125,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:51,28.9,831.03,29.24,11,400,0,-1,156.25,781.25,1656.25,7156.25,265.63,203.13,-625,515.63,537.1875,466.5,537.9375,1375.125,51.75,541.125,3050.25,1107.1875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:52,28.97,831.02,29.3,10.38,414,0,-1,218.75,3171.88,1703.13,7296.88,203.13,218.75,-750,453.13,537.5625,483.5625,537.5625,1402.125,51.75,540.9375,3050.0625,1141.875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:52,29.1,830.99,29.44,12.4,457,0,-1,187.5,-2390.63,3078.13,9656.25,125,203.13,-859.38,671.88,537,489.375,537.375,1428.375,51.9375,540.75,3049.3125,1180.6875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:52,29.15,830.98,29.47,9.85,652,0,-1,234.38,8687.5,2796.88,8515.63,187.5,234.38,-656.25,531.25,537,470.25,537.375,1425.9375,51.75,540.375,3049.3125,1157.0625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:52,29.2,831.01,29.54,9.75,722,0,-1,296.88,4765.63,1390.63,6500,250,203.13,-609.38,609.38,536.8125,456.1875,537.375,1430.625,51.75,540.375,3049.3125,1136.625,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:53,29.26,830.94,29.6,9.09,655,0,-1,109.38,4046.88,687.5,5421.88,218.75,218.75,-796.88,500,536.8125,445.5,536.8125,1434.9375,51.75,539.4375,3049.125,1123.6875,,,4000.40913 N,10515.77222 W,7, ,0
1/20/2016,16:53,29.32,830.9,29.65,8.94,566,0,-1,203.13,2906.25,421.88,4906.25,140.63,234.38,-906.25,343.75,536.8125,437.4375,537.1875,1439.4375,51.5625,539.4375,3048.9375,1113.375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:53,29.4,830.94,29.75,9.06,441,0,-1,265.63,906.25,750,4437.5,187.5,234.38,-609.38,750,536.8125,432.9375,537.75,1460.8125,51.5625,539.25,3048.75,1112.25,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:54,29.47,830.86,29.78,9.49,397,0,-1,234.38,-750,1062.5,4734.38,218.75,234.38,-734.38,718.75,536.8125,432,537.1875,1466.8125,51.375,539.4375,3047.4375,1114.5,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:54,29.51,830.96,29.85,9.23,376,0,-1,125,1453.13,1312.5,4781.25,250,234.38,-656.25,406.25,536.8125,429.75,537.5625,1468.5,51.5625,539.4375,3047.625,1116.1875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:54,29.57,830.92,29.89,9.53,373,0,-1,187.5,859.38,1812.5,5000,203.13,234.38,-515.63,609.38,537.1875,434.625,537.1875,1479,51.75,538.6875,3047.0625,1140.5625,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:54,29.6,830.91,29.93,9.85,377,0,-1,250,328.13,2015.63,5687.5,171.88,234.38,-703.13,734.38,536.8125,428.8125,536.8125,1472.8125,51.5625,538.5,3046.125,1137.375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:54,29.64,830.95,29.95,9.03,396,0,-1,109.38,3359.38,2140.63,5968.75,359.38,234.38,-593.75,921.88,536.4375,425.4375,536.4375,1471.6875,51.5625,539.4375,3048.1875,1172.4375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:55,29.68,830.91,30.01,9.03,413,0,-1,203.13,2390.63,1859.38,5812.5,218.75,218.75,-390.63,1046.88,535.125,432.5625,536.25,1474.125,51.5625,538.5,3048,1257.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:55,29.73,830.87,30.06,9.12,410,0,-1,93.75,1984.38,2046.88,5937.5,171.88,218.75,-468.75,890.63,536.25,444.1875,535.5,1476,51.75,538.5,3047.625,1347.1875,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:55,29.79,830.95,30.08,9.16,404,0,-1,203.13,1750,2062.5,6171.88,187.5,218.75,-671.88,968.75,534.75,457.125,535.5,1477.5,51.75,538.125,3047.625,1427.4375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:55,29.82,830.88,30.12,9.16,407,0,-1,140.63,1609.38,2187.5,6453.13,218.75,234.38,-578.13,1234.38,535.3125,469.5,534.75,1477.875,51.75,537.75,3047.4375,1495.125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:55,29.85,830.91,30.17,9.2,416,0,-1,156.25,1875,2281.25,6468.75,156.25,218.75,-375,1093.75,534.375,481.125,534.9375,1476.375,51.75,537.75,3047.4375,1548.375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:56,29.9,830.92,30.2,9.21,423,0,-1,265.63,1796.88,2265.63,6453.13,281.25,218.75,-578.13,1234.38,534.5625,492,534.5625,1476.375,51.9375,537.375,3047.25,1591.3125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:56,29.93,830.9,30.24,9.21,425,0,-1,140.63,1671.88,2406.25,6546.88,312.5,234.38,-390.63,1109.38,533.625,501.375,533.625,1475.8125,51.75,537.75,3046.5,1626.9375,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:56,29.96,830.82,30.28,9.24,419,0,-1,125,2156.25,2328.13,6437.5,125,234.38,-546.88,1000,533.25,509.8125,534.1875,1475.8125,51.75,537.75,3045.9375,1657.125,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,16:56,30,830.87,30.33,9.24,415,0,-1,140.63,2265.63,2390.63,6578.13,265.63,234.38,-640.63,1375,533.0625,517.875,534,1475.4375,51.9375,538.125,3046.5,1684.875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:56,30.06,830.95,30.36,9.24,425,0,-1,140.63,2406.25,2171.88,6765.63,203.13,234.38,-703.13,1187.5,533.625,525.5625,533.625,1475.4375,51.9375,537.375,3047.0625,1710,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:57,30.1,830.93,30.39,9.24,429,0,-1,234.38,1875,2203.13,6609.38,187.5,234.38,-703.13,1218.75,533.0625,532.3125,533.8125,1475.0625,51.9375,538.125,3046.6875,1728,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:57,30.14,830.88,30.44,9.25,427,0,-1,187.5,1890.63,2046.88,6453.13,234.38,234.38,-406.25,1046.88,533.0625,538.875,533.8125,1475.625,51.9375,538.125,3047.0625,1748.8125,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:57,30.15,830.86,30.46,9.25,426,0,-1,250,1781.25,2125,6343.75,187.5,234.38,-734.38,1328.13,533.8125,545.0625,533.0625,1475.625,52.125,538.125,3047.25,1767.9375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:57,30.21,830.9,30.49,9.25,424,0,-1,187.5,1750,2312.5,6187.5,203.13,234.38,-531.25,1125,532.6875,550.5,533.4375,1475.625,52.125,537.75,3047.0625,1783.875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:58,30.25,830.93,30.53,9.29,419,0,-1,296.88,2140.63,2250,6125,187.5,218.75,-578.13,1281.25,532.5,556.125,533.25,1474.125,52.125,538.125,3046.125,1797.75,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:58,30.29,830.91,30.57,9.3,423,0,-1,218.75,2125,2312.5,6187.5,312.5,234.38,-453.13,1218.75,533.25,561.1875,533.25,1473.375,52.125,537.75,3046.6875,1812.9375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:58,30.31,830.88,30.61,9.3,426,0,-1,203.13,2156.25,2484.38,6203.13,218.75,234.38,-421.88,1250,532.125,566.0625,532.875,1472.625,52.125,537.75,3046.3125,1824.375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:58,30.36,830.94,30.63,9.3,422,0,-1,156.25,2062.5,2515.63,6140.63,203.13,234.38,-578.13,1234.38,532.5,570.375,532.875,1472.25,52.3125,538.125,3045.375,1838.0625,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:58,30.38,830.94,30.65,9.3,419,0,-1,125,1953.13,2406.25,6062.5,171.88,250,-765.63,1531.25,531.9375,575.0625,533.0625,1472.8125,52.3125,537.75,3046.875,1852.125,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:59,30.39,830.89,30.68,9.3,424,0,-1,171.88,2031.25,2343.75,5843.75,203.13,234.38,-453.13,1531.25,531.75,579.5625,532.6875,1473,52.125,537.75,3045.75,1859.625,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:59,30.44,830.93,30.72,9.3,433,0,-1,171.88,2187.5,2531.25,5906.25,203.13,234.38,-296.88,1515.63,532.3125,583.3125,533.0625,1472.25,52.3125,537.1875,3045.75,1867.875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:59,30.48,830.95,30.76,9.31,435,0,-1,265.63,1703.13,2437.5,5937.5,218.75,234.38,-656.25,1343.75,531.5625,587.0625,532.6875,1472.4375,52.3125,538.125,3046.5,1878.1875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:59,30.51,830.91,30.8,9.31,431,0,-1,171.88,2328.13,2640.63,5875,203.13,234.38,-390.63,1421.88,532.125,591,532.875,1473.75,52.3125,537.5625,3046.6875,1890.75,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,16:59,30.55,830.93,30.83,9.31,428,0,-1,171.88,2265.63,2546.88,6078.13,218.75,234.38,-375,1437.5,532.5,594.5625,532.5,1474.125,52.3125,537.5625,3046.875,1898.625,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:00,30.57,830.86,30.85,9.31,424,0,-1,203.13,2562.5,2609.38,5937.5,203.13,234.38,-453.13,1562.5,531.75,597.9375,532.3125,1473.375,52.3125,537.5625,3046.3125,1908.375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:00,30.61,830.83,30.89,9.32,422,0,-1,218.75,2078.13,2828.13,5687.5,218.75,250,-484.38,1156.25,532.3125,601.125,532.5,1473.1875,52.3125,537.5625,3046.3125,1915.875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:00,30.62,830.8,30.91,9.32,426,0,-1,171.88,2328.13,2859.38,5859.38,187.5,234.38,-578.13,1343.75,531.375,604.3125,532.3125,1471.6875,52.5,538.125,3046.6875,1923.9375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:00,30.69,830.89,30.97,9.32,430,0,-1,203.13,1921.88,2984.38,5937.5,187.5,234.38,-421.88,1484.38,531.375,610.6875,532.3125,1470.75,52.5,537.5625,3045.9375,1935.75,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:01,30.71,830.82,31,9.32,425,0,-1,187.5,2453.13,3234.38,5765.63,281.25,234.38,-609.38,1468.75,531.375,613.6875,532.125,1469.25,52.5,538.125,3046.125,1944,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:01,30.75,830.82,31.04,9.32,420,0,-1,171.88,2578.13,3281.25,5859.38,218.75,234.38,-484.38,1453.13,530.625,616.5,531.9375,1469.0625,52.5,537,3046.125,1951.3125,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:01,30.78,830.86,31.06,9.32,425,0,-1,171.88,2359.38,3265.63,5718.75,171.88,250,-187.5,1484.38,531.75,619.6875,531.9375,1468.3125,52.5,536.8125,3046.3125,1956.75,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:01,30.8,830.88,31.07,9.32,424,0,-1,140.63,2390.63,3359.38,5781.25,203.13,234.38,-609.38,1515.63,531.375,622.3125,532.125,1467.9375,52.5,537,3046.125,1962,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:02,30.83,830.89,31.11,9.37,424,0,-1,171.88,2203.13,3140.63,5718.75,281.25,234.38,-656.25,1593.75,531.9375,624.9375,531.75,1467.75,52.5,536.8125,3045.9375,1968.375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:02,30.85,830.92,31.13,9.37,431,0,-1,203.13,2296.88,3359.38,5843.75,281.25,234.38,-500,1593.75,530.8125,627.5625,531.5625,1468.875,52.5,536.8125,3046.3125,1976.4375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:02,30.89,830.84,31.16,9.37,431,0,-1,218.75,2578.13,3296.88,5875,203.13,234.38,-578.13,1437.5,530.8125,630,531.75,1469.625,52.5,536.625,3046.125,1980.375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:02,30.91,830.86,31.2,9.37,430,0,-1,140.63,2296.88,3515.63,5875,187.5,250,-250,1562.5,531,632.4375,531.375,1470,52.5,536.4375,3045.5625,1983.75,,,4000.40913 N,10515.77222 W,7, ,1
1/20/2016,17:02,30.92,830.84,31.22,9.37,429,0,-1,156.25,2359.38,3671.88,5625,250,234.38,-500,1515.63,530.8125,634.5,531.5625,1470.9375,52.6875,536.25,3045.1875,1989.375,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:03,30.95,830.9,31.23,9.37,430,0,-1,234.38,2406.25,3500,5593.75,218.75,234.38,-578.13,1515.63,530.8125,636.9375,531.5625,1470.375,52.6875,536.25,3046.3125,1996.3125,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:03,30.98,830.94,31.26,9.37,430,0,-1,203.13,1859.38,3593.75,5765.63,218.75,234.38,-453.13,1500,530.8125,639.1875,531.375,1471.125,52.6875,536.4375,3045.375,1998.1875,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:03,31.01,830.88,31.28,9.37,431,0,-1,187.5,2312.5,3781.25,5906.25,156.25,234.38,-453.13,1562.5,531.375,641.25,531.375,1471.6875,52.6875,536.25,3046.125,2005.125,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:03,31.04,830.94,31.34,9.37,432,0,-1,265.63,2390.63,3640.63,5718.75,265.63,234.38,-421.88,1625,531.375,643.3125,531.375,1472.625,52.6875,535.6875,3045.9375,2010,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:03,31.05,830.84,31.36,9.37,430,0,-1,171.88,2687.5,3765.63,5875,156.25,234.38,-328.13,1593.75,530.4375,645.375,531,1474.125,52.875,536.0625,3046.3125,2012.625,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:04,31.09,830.85,31.4,9.41,429,0,-1,187.5,2734.38,3765.63,5937.5,140.63,250,-531.25,1562.5,531.1875,647.25,531.1875,1476.1875,52.6875,536.4375,3046.125,2015.625,,,4000.40913 N,10515.77222 W,7, ,2
1/20/2016,17:04,31.1,830.63,31.45,9.37,429,0,-1,171.88,2546.88,3859.38,5750,125,234.38,-390.63,1812.5,531,649.3125,531.375,1476.1875,52.6875,536.0625,3045.1875,2016.5625,,,4000.40913 N,10515.77222 W,7, ,2
